seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13565,2025,ESP.W.1,21140,41988,9,0,0,1,0,0,1,0,0,0,0,0,0,34,20,2025-12-10 05:55:59
13565,2025,ESP.W.1,21428,127084,12,1,7,2,2,0,0,0,0,3,4,1,0,0,10,2025-12-10 05:56:00
13565,2025,ESP.W.1,21149,209921,21,10,6,3,1,0,0,0,0,1,1,0,0,0,20,2025-10-07 05:16:03
13565,2025,ESP.W.1,21428,219120,6,3,7,3,1,0,0,0,0,4,10,1,0,0,3,2025-12-10 05:56:00
13565,2025,ESP.W.1,21425,219830,11,3,9,2,2,0,0,0,0,8,13,4,0,0,8,2025-12-10 05:56:00
13565,2025,ESP.W.1,21149,219894,24,21,18,9,5,0,0,1,0,5,20,3,0,0,13,2025-10-07 05:16:03
13565,2025,ESP.W.1,131393,219902,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:55:57
13565,2025,ESP.W.1,21128,219938,11,3,7,9,1,0,0,0,0,10,18,3,0,0,6,2025-12-10 05:56:00
13565,2025,ESP.W.1,20091,219989,8,3,4,0,0,0,0,0,0,4,8,0,0,0,0,2025-12-10 05:55:57
13565,2025,ESP.W.1,20091,219995,12,3,5,9,1,0,0,3,0,13,30,5,0,0,1,2025-12-10 05:55:57
13565,2025,ESP.W.1,20091,219998,13,3,7,9,2,0,0,0,0,2,10,0,0,0,2,2025-12-10 05:55:57
13565,2025,ESP.W.1,20093,220002,13,0,0,2,0,0,0,0,0,0,0,0,0,39,14,2025-12-10 05:55:57
13565,2025,ESP.W.1,21149,220005,17,4,20,6,5,0,1,0,0,6,11,1,0,0,17,2025-10-07 05:16:03
13565,2025,ESP.W.1,21175,225794,12,0,9,6,1,0,0,0,0,0,10,0,0,0,19,2025-12-10 05:55:58
13565,2025,ESP.W.1,21428,226725,9,5,5,5,1,0,0,2,0,6,16,0,0,0,4,2025-12-10 05:56:00
13565,2025,ESP.W.1,21149,245184,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-10-07 05:16:03
13565,2025,ESP.W.1,21128,248832,8,3,2,2,0,0,0,1,0,0,3,0,0,0,4,2025-12-10 05:56:00
13565,2025,ESP.W.1,21145,249104,12,5,5,2,0,0,0,2,0,3,4,1,0,0,18,2025-12-10 05:55:57
13565,2025,ESP.W.1,20093,252358,10,2,1,4,0,0,0,2,0,7,22,4,0,0,4,2025-12-10 05:55:57
13565,2025,ESP.W.1,20093,252363,11,5,3,5,0,0,0,1,0,4,12,2,0,0,9,2025-12-10 05:55:57
13565,2025,ESP.W.1,20091,253699,10,2,3,5,0,0,0,3,0,9,35,4,0,0,1,2025-12-10 05:55:57
13565,2025,ESP.W.1,21140,255172,4,0,0,1,0,0,0,0,0,0,0,0,0,9,5,2025-12-10 05:55:59
13565,2025,ESP.W.1,20091,255815,11,4,6,1,1,0,0,4,0,3,13,1,0,0,1,2025-12-10 05:55:57
13565,2025,ESP.W.1,21128,257531,11,2,7,8,0,0,0,1,0,12,19,6,0,0,8,2025-12-10 05:56:00
13565,2025,ESP.W.1,21128,258818,3,1,2,2,0,0,0,0,0,1,2,0,0,0,0,2025-12-10 05:56:00
13565,2025,ESP.W.1,21149,258829,7,3,4,0,1,0,0,0,0,0,1,0,0,0,3,2025-12-10 05:55:59
13565,2025,ESP.W.1,21426,259774,13,2,8,3,2,0,0,0,0,0,3,0,0,0,22,2025-12-10 05:55:59
13565,2025,ESP.W.1,21128,264719,4,1,5,2,0,1,0,0,0,3,7,1,0,0,2,2025-12-10 05:56:00
13565,2025,ESP.W.1,20091,264734,6,1,4,4,0,0,0,3,0,5,16,2,0,0,1,2025-12-10 05:55:57
13565,2025,ESP.W.1,21137,264854,3,2,3,0,2,0,0,0,0,0,0,0,0,0,5,2025-12-10 05:55:56
13565,2025,ESP.W.1,21424,265534,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2025-12-10 05:56:01
13565,2025,ESP.W.1,21149,266890,24,9,21,11,5,0,0,0,0,2,7,0,0,0,20,2025-10-07 05:16:03
13565,2025,ESP.W.1,21128,268328,8,3,6,3,1,0,0,0,0,0,1,0,0,0,2,2025-12-10 05:56:00
13565,2025,ESP.W.1,20091,268537,11,4,2,2,0,0,0,3,0,12,25,6,0,0,2,2025-12-10 05:55:57
13565,2025,ESP.W.1,21426,270036,11,1,2,11,1,0,0,0,0,1,5,0,0,0,19,2025-12-10 05:55:59
13565,2025,ESP.W.1,21149,270060,10,5,8,5,0,0,0,2,0,0,5,0,0,0,5,2025-12-10 05:55:59
13565,2025,ESP.W.1,21376,277246,10,2,10,11,2,0,0,2,0,3,9,1,0,0,9,2025-12-10 05:55:58
13565,2025,ESP.W.1,21140,279210,10,7,8,1,0,0,0,0,0,1,6,0,0,0,5,2025-12-10 05:55:59
13565,2025,ESP.W.1,21425,280993,13,5,9,14,1,0,0,1,0,9,22,1,0,0,12,2025-12-10 05:56:00
